page,mbfclink,bias_rating,factual_reporting,country,media_type,trafficpopularity,credibility_rating,source,domain,leaning,press_freedom_rank,bias_label_5_class
Affinity Magazine,https://mediabiasfactcheck.com/affinity-magazine/,LEFT-CENTER,MIXED,USA,Magazine,Minimal Traffic,MIXED CREDIBILITY,http://affinitymagazine.us/,affinitymagazine.us,leftcenter,,leftcenter
African Arguments,https://mediabiasfactcheck.com/african-arguments/,LEFT-CENTER,HIGH,United Kingdom,Website,Minimal Traffic,HIGH CREDIBILITY,https://africanarguments.org/,africanarguments.org,leftcenter,,leftcenter
Africa News,https://mediabiasfactcheck.com/africa-news/,LEFT-CENTER,MOSTLY FACTUAL,France,TV Station,Medium Traffic,HIGH CREDIBILITY,https://www.africanews.com/,africanews.com,leftcenter,,leftcenter
Agassiz-Harrison Observer,https://mediabiasfactcheck.com/agassiz-harrison-observer-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.agassizharrisonobserver.com/,agassizharrisonobserver.com,leftcenter,,leftcenter
Ahval News,https://mediabiasfactcheck.com/ahval-news/,LEFT-CENTER,MIXED,USA,Website,Medium Traffic,MEDIUM CREDIBILITY,https://ahvalnews.com/,ahvalnews.com,leftcenter,,leftcenter
Aitkin Independent Age,https://mediabiasfactcheck.com/aitkin-independent-age-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.messagemedia.co/aitkin/,messagemedia.co,leftcenter,,leftcenter
Akron Beacon Journal,https://mediabiasfactcheck.com/akron-beacon-journal/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.beaconjournal.com/,beaconjournal.com,leftcenter,MOSTLY FREE,leftcenter
Al Jazeera,https://mediabiasfactcheck.com/al-jazeera/,LEFT-CENTER,MIXED,Qatar,TV Station,High Traffic,MEDIUM CREDIBILITY,https://www.aljazeera.com/,aljazeera.com,leftcenter,LIMITED FREEDOM,leftcenter
Al Monitor,https://mediabiasfactcheck.com/al-monitor/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.al-monitor.com/,al-monitor.com,leftcenter,,leftcenter
Al-Sura,https://mediabiasfactcheck.com/al-sura/,LEFT-CENTER,MIXED,USA,Website,Minimal Traffic,MEDIUM CREDIBILITY,https://al-sura.com,al-sura.com,leftcenter,,leftcenter
Alan Guttmacher Institute,https://mediabiasfactcheck.com/alan-guttmacher-institute/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.guttmacher.org/,guttmacher.org,leftcenter,,leftcenter
Albany Times-Union,https://mediabiasfactcheck.com/albany-times-union/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.timesunion.com/,timesunion.com,leftcenter,,leftcenter
Alberta Views,https://mediabiasfactcheck.com/alberta-views-bias/,LEFT-CENTER,HIGH,Canada,Magazine,Minimal Traffic,HIGH CREDIBILITY,https://albertaviews.ca,albertaviews.ca,leftcenter,,leftcenter
Aldergrove Star,https://mediabiasfactcheck.com/aldergrove-star-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.aldergrovestar.com/,aldergrovestar.com,leftcenter,,leftcenter
AllGov,https://mediabiasfactcheck.com/allgov/,LEFT-CENTER,HIGH,USA,Website,Minimal Traffic,HIGH CREDIBILITY,http://www.allgov.com,allgov.com,leftcenter,,leftcenter
Alliston Herald,https://mediabiasfactcheck.com/alliston-herald-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.simcoe.com/alliston-on/,simcoe.com,leftcenter,,leftcenter
Almaguin News,https://mediabiasfactcheck.com/almaguin-news-bias/,LEFT-CENTER,HIGH,Canada,Website,Minimal Traffic,HIGH CREDIBILITY,https://www.northbaynipissing.com/almaguinhighlands-on/,northbaynipissing.com,leftcenter,,leftcenter
AM New York,https://mediabiasfactcheck.com/am-new-york/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.amny.com/,amny.com,leftcenter,,leftcenter
America Magazine,https://mediabiasfactcheck.com/america-magazine/,LEFT-CENTER,HIGH,USA,Magazine,Medium Traffic,HIGH CREDIBILITY,https://www.americamagazine.org/,americamagazine.org,leftcenter,,leftcenter
American Immigration Council,https://mediabiasfactcheck.com/american-immigration-council/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://www.americanimmigrationcouncil.org,americanimmigrationcouncil.org,leftcenter,,leftcenter
American Public Media,https://mediabiasfactcheck.com/american-public-media/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://www.americanpublicmedia.org,americanpublicmedia.org,leftcenter,,leftcenter
American Purpose,https://mediabiasfactcheck.com/american-purpose/,LEFT-CENTER,HIGH,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://www.americanpurpose.com/,americanpurpose.com,leftcenter,,leftcenter
Ames Tribune,https://mediabiasfactcheck.com/ames-tribune-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.amestrib.com/,amestrib.com,leftcenter,MOSTLY FREE,leftcenter
Amnesty International,https://mediabiasfactcheck.com/amnesty-international/,LEFT-CENTER,HIGH,United Kingdom,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.amnesty.org/en/,amnesty.org,leftcenter,,leftcenter
Ancaster News,https://mediabiasfactcheck.com/ancaster-news-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.thespec.com/local-ancaster,thespec.com,leftcenter,,leftcenter
Anderson Herald Bulletin,https://mediabiasfactcheck.com/anderson-herald-bulletin-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.heraldbulletin.com/,heraldbulletin.com,leftcenter,,leftcenter
Anniston Star,https://mediabiasfactcheck.com/anniston-star/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.annistonstar.com,annistonstar.com,leftcenter,,leftcenter
Anthropocene Magazine,https://mediabiasfactcheck.com/conservation-magazine/,LEFT-CENTER,HIGH,USA,Magazine,Minimal Traffic,HIGH CREDIBILITY,https://www.anthropocenemagazine.org/,anthropocenemagazine.org,leftcenter,,leftcenter
Anti Defamation League,https://mediabiasfactcheck.com/anti-defamation-league/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.adl.org,adl.org,leftcenter,,leftcenter
AOL,https://mediabiasfactcheck.com/aol/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.aol.com/,aol.com,leftcenter,,leftcenter
APM Reports,https://mediabiasfactcheck.com/apm-reports/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://www.apmreports.org/,apmreports.org,leftcenter,,leftcenter
Apple News,https://mediabiasfactcheck.com/apple-news-bias/,LEFT-CENTER,MOSTLY FACTUAL,USA,App/Website,High Traffic,HIGH CREDIBILITY,https://www.apple.com/apple-news/,apple.com,leftcenter,,leftcenter
APTN National News,https://mediabiasfactcheck.com/aptn-news/,LEFT-CENTER,HIGH,Canada,TV Station,Medium Traffic,HIGH CREDIBILITY,https://www.aptnnews.ca/,aptnnews.ca,leftcenter,,leftcenter
Areo Magazine,https://mediabiasfactcheck.com/areo-magazine/,LEFT-CENTER,HIGH,United Kingdom,Website,Medium Traffic,HIGH CREDIBILITY,https://areomagazine.com,areomagazine.com,leftcenter,,leftcenter
Arizona Capitol Times,https://mediabiasfactcheck.com/arizona-capitol-times/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://azcapitoltimes.com/,azcapitoltimes.com,leftcenter,,leftcenter
Arizona Daily Star,https://mediabiasfactcheck.com/arizona-daily-star/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://tucson.com/,tucson.com,leftcenter,,leftcenter
Arizona Daily Sun,https://mediabiasfactcheck.com/arizona-daily-sun/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://azdailysun.com,azdailysun.com,leftcenter,,leftcenter
Arizona Republic,https://mediabiasfactcheck.com/arizona-republic/,LEFT-CENTER,HIGH,USA,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.azcentral.com,azcentral.com,leftcenter,,leftcenter
Arkansas Times,https://mediabiasfactcheck.com/arkansas-times/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.arktimes.com,arktimes.com,leftcenter,,leftcenter
Arms Control Association,https://mediabiasfactcheck.com/arms-control-association/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.armscontrol.org,armscontrol.org,leftcenter,,leftcenter
Arnprior Chronicle-Guide,https://mediabiasfactcheck.com/arnprior-chronicle-guide-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.insideottawavalley.com/arnprior-on/,insideottawavalley.com,leftcenter,,leftcenter
ARTE,https://mediabiasfactcheck.com/arte/,LEFT-CENTER,MOSTLY FACTUAL,France/Germany,TV Station,High Traffic,HIGH CREDIBILITY,https://www.arte.tv/,arte.tv,leftcenter,,leftcenter
Asheville Citizen-Times,https://mediabiasfactcheck.com/asheville-citizen-times/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.citizen-times.com/,citizen-times.com,leftcenter,,leftcenter
Asia Sentinel,https://mediabiasfactcheck.com/asia-sentinel/,LEFT-CENTER,MIXED,USA,Website,Minimal Traffic,MEDIUM CREDIBILITY,https://www.asiasentinel.com/,asiasentinel.com,leftcenter,,leftcenter
Aspenia Online,https://mediabiasfactcheck.com/aspenia-online/,LEFT-CENTER,HIGH,Italy,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://aspeniaonline.it/,aspeniaonline.it,leftcenter,,leftcenter
Aspen Institute,https://mediabiasfactcheck.com/aspen-institute/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.aspeninstitute.org/,aspeninstitute.org,leftcenter,,leftcenter
Associated Press,https://mediabiasfactcheck.com/associated-press/,LEFT-CENTER,HIGH,USA,News Agency,High Traffic,HIGH CREDIBILITY,https://apnews.com/,apnews.com,leftcenter,MOSTLY FREE,leftcenter
Atavist Magazine,https://mediabiasfactcheck.com/atavist-magazine/,LEFT-CENTER,VERY HIGH,USA,Magazine,Medium Traffic,HIGH CREDIBILITY,https://magazine.atavist.com/,atavist.com,leftcenter,,leftcenter
Athens Banner-Herald,https://mediabiasfactcheck.com/athens-banner-herald-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.onlineathens.com/,onlineathens.com,leftcenter,MOSTLY FREE,leftcenter
Athens News Courier,https://mediabiasfactcheck.com/athens-news-courier-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.enewscourier.com/,enewscourier.com,leftcenter,,leftcenter
Atlanta Black Star,https://mediabiasfactcheck.com/atlanta-black-star/,LEFT-CENTER,MOSTLY FACTUAL,USA,Website,High Traffic,HIGH CREDIBILITY,https://atlantablackstar.com/,atlantablackstar.com,leftcenter,,leftcenter
Atlanta Journal-Constitution,https://mediabiasfactcheck.com/atlanta-journal-constitution/,LEFT-CENTER,HIGH,USA,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.ajc.com/,ajc.com,leftcenter,,leftcenter
Atlantic,https://mediabiasfactcheck.com/the-atlantic/,LEFT-CENTER,HIGH,USA,Magazine,High Traffic,HIGH CREDIBILITY,https://www.theatlantic.com/,theatlantic.com,leftcenter,MOSTLY FREE,leftcenter
Atlantic Media,https://mediabiasfactcheck.com/atlantic-media/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://www.atlanticmedia.com/,atlanticmedia.com,leftcenter,,leftcenter
ATTN:,https://mediabiasfactcheck.com/attn/,LEFT-CENTER,HIGH,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://www.attn.com/,attn.com,leftcenter,,leftcenter
Aurora Banner,https://mediabiasfactcheck.com/aurora-banner-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.yorkregion.com/aurora-on/,yorkregion.com,leftcenter,,leftcenter
Austin American-Statesman,https://mediabiasfactcheck.com/austin-american-statesman/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.statesman.com/,statesman.com,leftcenter,,leftcenter
Austin Daily Herald,https://mediabiasfactcheck.com/austin-daily-herald-minnesota/,LEFT-CENTER,HIGH,USA,Website,Minimal Traffic,HIGH CREDIBILITY,https://www.austindailyherald.com/,austindailyherald.com,leftcenter,,leftcenter
AV Club,https://mediabiasfactcheck.com/av-club/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.avclub.com/,avclub.com,leftcenter,,leftcenter
Axios,https://mediabiasfactcheck.com/axios/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.axios.com/,axios.com,leftcenter,MOSTLY FREE,leftcenter
BackChannel,https://mediabiasfactcheck.com/backchannel/,LEFT-CENTER,HIGH,USA,Website,Minimal Traffic,HIGH CREDIBILITY,https://www.wired.com/category/backchannel/,wired.com,leftcenter,MOSTLY FREE,leftcenter
Balkan Insight,https://mediabiasfactcheck.com/balkan-insight/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://balkaninsight.com/,balkaninsight.com,leftcenter,,leftcenter
Baltimore Sun,https://mediabiasfactcheck.com/baltimore-sun/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.baltimoresun.com/,baltimoresun.com,leftcenter,,leftcenter
Bangor Daily News,https://mediabiasfactcheck.com/bangor-daily-news/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://bangordailynews.com/,bangordailynews.com,leftcenter,,leftcenter
Baptist News Global,https://mediabiasfactcheck.com/baptist-news-global/,LEFT-CENTER,HIGH,USA,News Agency,Medium Traffic,HIGH CREDIBILITY,https://baptistnews.com/,baptistnews.com,leftcenter,,leftcenter
Barrie Today,https://mediabiasfactcheck.com/barrie-today/,LEFT-CENTER,HIGH,Canada,Website,Medium Traffic,HIGH CREDIBILITY,https://www.barrietoday.com/,barrietoday.com,leftcenter,,leftcenter
Battle Creek Enquirer,https://mediabiasfactcheck.com/battle-creek-enquirer/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.battlecreekenquirer.com,battlecreekenquirer.com,leftcenter,,leftcenter
Baxter Bulletin,https://mediabiasfactcheck.com/the-baxter-bulletin/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.baxterbulletin.com,baxterbulletin.com,leftcenter,MOSTLY FREE,leftcenter
Bay Nature Magazine,https://mediabiasfactcheck.com/bay-nature-magazine-bias/,LEFT-CENTER,HIGH,USA,Magazine,Medium Traffic,HIGH CREDIBILITY,https://baynature.org/,baynature.org,leftcenter,,leftcenter
BBC News,https://mediabiasfactcheck.com/bbc/,LEFT-CENTER,HIGH,United Kingdom,TV Station,High Traffic,HIGH CREDIBILITY,https://www.bbc.com/news,bbc.com,leftcenter,MOSTLY FREE,leftcenter
Bedford Times-Mail,https://mediabiasfactcheck.com/bedford-times-mail-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.tmnews.com/,tmnews.com,leftcenter,MOSTLY FREE,leftcenter
Bellingcat,https://mediabiasfactcheck.com/bellingcat/,LEFT-CENTER,MOSTLY FACTUAL,United Kingdom,Website,Medium Traffic,HIGH CREDIBILITY,https://www.bellingcat.com/,bellingcat.com,leftcenter,,leftcenter
Bellingham Herald,https://mediabiasfactcheck.com/bellingham-herald/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.bellinghamherald.com/,bellinghamherald.com,leftcenter,,leftcenter
Berkeleyside,https://mediabiasfactcheck.com/berkeleyside/,LEFT-CENTER,HIGH,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://www.berkeleyside.com/,berkeleyside.com,leftcenter,,leftcenter
Berkshire Eagle,https://mediabiasfactcheck.com/berkshire-eagle/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.berkshireeagle.com/,berkshireeagle.com,leftcenter,,leftcenter
Berliner Zeitung,https://mediabiasfactcheck.com/berliner-zeitung/,LEFT-CENTER,MOSTLY FACTUAL,USA,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.berliner-zeitung.de/,berliner-zeitung.de,leftcenter,,leftcenter
Bing News,https://mediabiasfactcheck.com/bing-news/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.bing.com/news,bing.com,leftcenter,,leftcenter
Birmingham Mail,https://mediabiasfactcheck.com/birmingham-mail/,RIGHT-CENTER,MOSTLY FACTUAL,United Kingdom,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.birminghammail.co.uk,birminghammail.co.uk,leftcenter,,rightcenter
Black Enterprise,https://mediabiasfactcheck.com/black-enterprise-magazine-bias/,LEFT-CENTER,HIGH,USA,Magazine,Medium Traffic,HIGH CREDIBILITY,https://www.blackenterprise.com/,blackenterprise.com,leftcenter,,leftcenter
BlackPressUSA,https://mediabiasfactcheck.com/black-press-usa-bias/,LEFT-CENTER,HIGH,USA,Website,Minimal Traffic,HIGH CREDIBILITY,https://blackpressusa.com/,blackpressusa.com,leftcenter,,leftcenter
Bleacher Report,https://mediabiasfactcheck.com/bleacher-report/,LEFT-CENTER,MOSTLY FACTUAL,USA,Website,High Traffic,HIGH CREDIBILITY,https://bleacherreport.com/,bleacherreport.com,leftcenter,,leftcenter
Bloomberg,https://mediabiasfactcheck.com/bloomberg/,LEFT-CENTER,MOSTLY FACTUAL,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://www.bloomberg.com/,bloomberg.com,leftcenter,MOSTLY FREE,leftcenter
Bluestem Prairie,https://mediabiasfactcheck.com/bluestem-prairie/,LEFT-CENTER,HIGH,USA,Website,Minimal Traffic,HIGH CREDIBILITY,http://www.bluestemprairie.com/,bluestemprairie.com,leftcenter,,leftcenter
Boston.com,https://mediabiasfactcheck.com/boston-com/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.boston.com/,boston.com,leftcenter,,leftcenter
Boston Globe,https://mediabiasfactcheck.com/boston-globe/,LEFT-CENTER,HIGH,USA,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.bostonglobe.com/,bostonglobe.com,leftcenter,MOSTLY FREE,leftcenter
Boy Genius Report,https://mediabiasfactcheck.com/boy-genius-report-bgr/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,bgr.com/,bgr.com,leftcenter,MOSTLY FREE,leftcenter
Bracebridge,https://mediabiasfactcheck.com/bracebridge-examiner-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.muskokaregion.com/bracebridge-on/,muskokaregion.com,leftcenter,,leftcenter
Brampton Guardian,https://mediabiasfactcheck.com/brampton-guardian/,LEFT-CENTER,HIGH,Canada,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.bramptonguardian.com,bramptonguardian.com,leftcenter,,leftcenter
Brennan Center for Justice,https://mediabiasfactcheck.com/brennan-center-for-justice/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.brennancenter.org/,brennancenter.org,leftcenter,MOSTLY FREE,leftcenter
Brockton Enterprise,https://mediabiasfactcheck.com/brockton-enterprise-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.enterprisenews.com/,enterprisenews.com,leftcenter,MOSTLY FREE,leftcenter
Brookings Institute,https://mediabiasfactcheck.com/brookings-institute/,LEFT-CENTER,VERY HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.brookings.edu/,brookings.edu,leftcenter,MOSTLY FREE,leftcenter
Bulletin of Atomic Scientists,https://mediabiasfactcheck.com/bulletin-of-the-atomic-scientists/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://thebulletin.org/,thebulletin.org,leftcenter,MOSTLY FREE,leftcenter
Burlington Post,https://mediabiasfactcheck.com/burlington-post-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.insidehalton.com/burlington-on/,insidehalton.com,leftcenter,,leftcenter
Business Insider,https://mediabiasfactcheck.com/business-insider/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,http://www.businessinsider.com/,businessinsider.com,leftcenter,MOSTLY FREE,leftcenter
Bustle Magazine,https://mediabiasfactcheck.com/bustle-magazine/,LEFT-CENTER,MOSTLY FACTUAL,USA,Magazine,High Traffic,HIGH CREDIBILITY,https://www.bustle.com/,bustle.com,leftcenter,,leftcenter
Buzzfeed,https://mediabiasfactcheck.com/buzzfeed/,LEFT-CENTER,MIXED,USA,Website,High Traffic,MEDIUM CREDIBILITY,https://www.buzzfeed.com/,buzzfeed.com,leftcenter,MOSTLY FREE,leftcenter
Buzzfeed News,https://mediabiasfactcheck.com/buzzfeed-news/,LEFT-CENTER,MOSTLY FACTUAL,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.buzzfeednews.com/,buzzfeednews.com,leftcenter,,leftcenter
Byline Times,https://mediabiasfactcheck.com/byline-times/,LEFT-CENTER,HIGH,United Kingdom,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://bylinetimes.com/,bylinetimes.com,leftcenter,,leftcenter
Caledon Enterprise,https://mediabiasfactcheck.com/caledon-enterprise-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.caledonenterprise.com/,caledonenterprise.com,leftcenter,,leftcenter
Cambridge Times,https://mediabiasfactcheck.com/cambridge-times-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.cambridgetimes.ca/,cambridgetimes.ca,leftcenter,,leftcenter
Canadaland,https://mediabiasfactcheck.com/canadaland/,LEFT-CENTER,HIGH,Canada,Website,Minimal Traffic,HIGH CREDIBILITY,https://www.canadaland.com/,canadaland.com,leftcenter,,leftcenter
Capital Gazette,https://mediabiasfactcheck.com/capital-gazette/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.capitalgazette.com/,capitalgazette.com,leftcenter,MOSTLY FREE,leftcenter
Caribbean Life News,https://mediabiasfactcheck.com/caribbean-life-news/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.caribbeanlifenews.com/,caribbeanlifenews.com,leftcenter,MOSTLY FREE,leftcenter
Carnegie Endowment for International Peace,https://mediabiasfactcheck.com/carnegie-endowment-for-international-peace/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://carnegieendowment.org/,carnegieendowment.org,leftcenter,MOSTLY FREE,leftcenter
Carolina Public Press,https://mediabiasfactcheck.com/carolina-public-press/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://carolinapublicpress.org/,carolinapublicpress.org,leftcenter,MOSTLY FREE,leftcenter
Catch News,https://mediabiasfactcheck.com/catch-news-bias-rating/,LEFT-CENTER,MOSTLY FACTUAL,India,Website,Medium Traffic,MEDIUM CREDIBILITY,http://www.catchnews.com,catchnews.com,leftcenter,,leftcenter
CBC News,https://mediabiasfactcheck.com/cbc-news-canadian-broadcasting/,LEFT-CENTER,HIGH,Canada,TV Station,High Traffic,HIGH CREDIBILITY,https://www.cbc.ca/news,cbc.ca,leftcenter,MOSTLY FREE,leftcenter
CBS Boston – WBZ-TV,https://mediabiasfactcheck.com/cbs-boston-wbz-tv/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://www.cbsnews.com/boston/,cbsnews.com,leftcenter,,leftcenter
